Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (1.1.x Status),Custom field (1.5 Status),Custom field (10 status),Custom field (11 status),Custom field (12 status),Custom field (19 status),Custom field (2.1.x Status),Custom field (2.2 Status),Custom field (2.3 Status),Custom field (2.7 Status),Custom field (2.8 Status),Custom field (2.9 Status),Custom field (20 status),Custom field (21 Status),Custom field (CLE Team Issue),Custom field (Conversion Script Required),Custom field (Epic Link),Custom field (External issue ID),Custom field (External issue ID),Custom field (Global Rank),Custom field (Points),Custom field (Previous GIT issue),Custom field (Previous Issue Keys),Custom field (Property addition/change required),Custom field (Raised During),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Notes),Custom field (Test Plan),Custom field (Test Sessions),Custom field (Test Sessions),Custom field (Testing Status),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Lessons - Engagement Dashboard - a way to see student completion of page visits, question answers, comments, etc.",SAK-37403,81359,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,maintenanceteam,alanregan,alanregan,10-Oct-2017 11:48,18-Apr-2018 07:24,18-Feb-2021 03:39,,11.4,12.0,19.0,,,,,,,,,,,,,,,,Lessons,,,,,,,3,LSClient,,,,,,,,"*GOAL*

Empower instructor to know the progress of each student within Lessons and ability to export key data to CSV or Excel for additional analysis.

*BACKGROUND*

Lessons is awesome. It's a rich tool with so many options. Instructors want to know more about the progress of student engagement within Lessons, and have options to export data and feedback for analysis.

*DASHBOARD*

Similar to how the Checklist feature has a grid to see which students have marked which items, a page list can show which students have visited different pages (similar to how each person can go to the Index of Pages and see which pages they have visited or not).

*EXPORT*

There is valuable information in Lessons, such as answers to the ""Question,"" ""Comments,"" and ""Checklist"" features.  We have had instructors ask for a way to easily export this data in bulk for analysis in Excel or other tools. Via whichever dashboard or statistics page within Lessons, there should be an option to export not only status data, but also the individual responses from students in questions, comments, and checklists.
----
I understand that there is a feature in Statistics (Site Stats) that attempts to aggregate Lessons data (SAK-29709). The feature is currently broken, however (SAK-33432). Also, as far as I know, it doesn't allow export of individual student question answers, comments, etc. Whether fixing and enhancing the Site Stats process or creating a new Lessons feature that looks and feels like other Lessons tools, I leave that to the community.  Most instructors would intuitively attempt to export or download data within Lessons, so at minimum, an option to download student engagement data would be helpful in Lessons.

Thank you for considering this feature request.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,LSNBLDR-879,,,"0|10b7go:",9223372036854775807,,Please add a Test Plan here.,,,Not started,,,,,,,"16-Oct-2017 13:28;rainribbon;*Dashboard* has been removed due to numerous issues (including accessibility issues).  It probably shouldn't be included unless it's fixed.

It sounds like two features are being requested here:
# Statistics for determining when students access content and how much content they access (page loads, clicks etc.)
# Export of the following student submission data and instructor comments/grades/response to these submissions:
** Responses to the questions created via _Lessons_ > *Add Question*
** Comments
** Checklist selections
** Content on Student Pages (not sure if this is desired too?  It's not mentioned above but it is a form of submission data)
** Peer review rubric data (for peer reviews on Student Pages)","20-Feb-2018 09:17;berappl;This might be an opportunity to utilize something like the xAPI to LRW -> reporting process.

While this does add a lot of external things to your Sakai instance it does give you a large range of reporting abilities. 

We are still working on getting our environment setup and reports created.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set a due date for questions within Lessons,SAK-37404,81924,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,maintenanceteam,berappl,berappl,04-Jan-2018 15:43,18-Apr-2018 07:24,18-Feb-2021 03:39,,11.4,12.0,19.0,,,,,,,,,,,,,,,,Lessons,,,,,,,2,LSClient,TL,,,,,,,"Our functional users have brought to our attention that it is not possible to set a due date for a question within the Lesson Builder tool.  

The desired functionality would be to be able to set a due date for a question within Lesson Builder, set a due date for the whole lesson, and be able to set these from within gradebook like the assignments tool has the ability to do.  ",Currently in 11.4 and prior environments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,LSNBLDR-920,,,"0|10baxs:",9223372036854775807,,Please add a Test Plan here.,,,Not started,,,,,,,"21-Mar-2018 09:37;psg3a@virginia.edu;This sounds like a good feature to add to Lessons - gets my vote!","21-Mar-2018 09:38;berappl;Discussed on the T+L call and there is interest from among this group, I will be reaching out to LongSight for an estimated cost in hours to get this functionality added.","21-Mar-2018 09:42;mbreschuk;A good idea. Once/if this proposed feature is implemented, could it be available but disabled by default so that instructors are not forced into setting due dates in the case that questions are unweighted and/or meant for check-in?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make edit/delete comments time configurable,SAK-37401,65533,New Feature,Awaiting Review,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,hedrick,jonespm,jonespm,22-Jun-2015 15:54,18-Apr-2018 07:24,18-Feb-2021 03:39,,10.5,,,,,,,,,,,,,,,,,,Lessons,,,,,,,0,,,,,,,,,"In lessons when a student edits their comments there's a hardcoded message that says.

You may only edit or delete your comment until it is 30 minutes old.

There's some logic in SimplePageBean->canModifyComment that says
/**
* Admins can always edit. Authors can edit for 30 minutes.
* 

I'm not sure why this is set to be limited on the student side? This is a feature request to make this unlimited for students (-1) and also configurable to be larger than 30 minutes unless there's some reason why this particular number was chosen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,LSNBLDR-501,,,"0|108ms0:",9223372036854775807,,,,,Not started,,,,,,,"22-Jun-2015 16:30;hedrick;I agree. That looks worth doing. I think the reason Eric added the time limit is that comments can be graded. He was concerned about not having them change after grading. Also, some people worry about what happens to a discussion of someone changes an item that others have responded to. One of the Internet forums i use limits edits for that reason.

But it seems like it should be configurable. It's easy enough to do. It just adds extra complexity to the UI. I'll do that after the changes to copying pages that I agreed to, since it has less wide impact, and will be easier to test.","23-Jun-2015 09:52;sfoster9;Would this proposed configuration be configurable from the institution level (via sakai.properties) or by the instructor (via ""Edit"" beside the Add Comments area)?","23-Jun-2015 11:30;sfoster9;Thinking about it further, if the time restriction was added to restrict the student from editing after grading, then a less round-about way than an arbitrary time limit would be to automatically lock the editing from the student when a score is entered, which would be controlled by an option in the Edit area for instructors (""Lock comment from student changes after comment is marked"" or something like that).","23-Jun-2015 11:33;hedrick;My intent was to put the option in the edit dialog. Probably with the default not to have a limit.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Students should be allowed to Add Comments Tool ,SAK-37402,64822,New Feature,Awaiting Review,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,hedrick,nickwilson,nickwilson,23-Feb-2015 10:44,18-Apr-2018 07:24,18-Feb-2021 03:39,,10.0,,,,,,,,,,,,,,,,,,Lessons,,,,,,,0,,,,,,,,,It would be good to let students add a comments page. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,LSNBLDR-473,,,"0|108ii0:",9223372036854775807,,"1. Go to the Lessons tool as admin/admin and click Add Content -> Add Student Content.
2. As a student in the site, create a student page.
2. Click Add Content and try to 'Add Comments Tool' to the page (which currently you can't).",,,Not started,,,,,,,"23-Feb-2015 12:24;hedrick;I'd want a broader consensus on this. I think having students comment on each other's work is a significant change in how interaction happens within the class. I'm not sure everyone would like that. We could add another option, of course, but there's already enough.
","24-Feb-2015 10:33;nickwilson;Absolutely.  Maybe I should ask the question on the mailing list unless there's a better way to get a sense of whether a certain change is something people would like?       ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue with 'Uploading ZIP files',SAK-37395,68417,New Feature,Awaiting Review,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,hedrick,Anirudh_Nagulapalli,Anirudh_Nagulapalli,13-Jun-2016 14:52,18-Apr-2018 07:24,18-Feb-2021 03:39,,11.0,,,,,,,,,,,,,,,,,,Lessons,,,,,,,0,11qatestfest,qafuncttest,,,,,,,"1. Login as Instructor, Select one of test site, click on Lessons
2. Click on 'Add Content' -> 'Upload content in ZIP file'
3. Click on 'Choose file'
4. Select a ZIP file and click 'Open' in Windows/ click 'Choose' on MacBook to upload the file and click 'Save'.

Problem:
An error message is displayed - ""ZIP file is uploaded in Resources but the files to view can't be found""
The link to the uploaded files cannot be found in lesson page.

https://www.evernote.com/l/ATkbDo12_pRMNpV11Da1iZxrX08fFclx2Wc
https://www.evernote.com/l/ATmR2ECt2Z5GjK6OOAKEXPhtqlqoDAqdVg0","OS: MacBook Pro OS X Maverics Version 10.9.4; Browser: Safari 7.0.5 
OS: Windows 10; Browser: Chrome 
QA01 server also QA test server on MySql Sakai 11.0-RC01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,LSNBLDR-658,,,"0|1095g8:",9223372036854775807,,,,,Not started,,,,,,,"14-Jun-2016 08:35;hedrick;Does the ZIP file have a file to show? The simplest would be index.html, but there is special support for Camtasia, Wimba, and Articulate. I'd be willing to add support for other formats if you can tell me how to find the starting point.
","14-Jun-2016 10:08;Anirudh_Nagulapalli;[~hedrick] Hi Charles. Yes, I've included 3 - 4 different types of files like .pdf, .doc, .jpg and a .png and compressed them into a ZIP file and used it.
Uploaded using lesson tool -> 'Add content' -> 'Upload content in zip file'
Let me know if you still can not replicate the issue","14-Jun-2016 10:12;Sristi;[~hedrick] In lesson, when we click add content link, click upload zip files and upload the zipped file (that has word, pdf, png, jpg files in it) we are getting the message as shown in the snapshot : http://www.evernote.com/shard/s657/sh/46044046-17aa-4f00-ac5e-4a694f0feef7/9e6221c8185a3232bcfa7df14421acb9 
I was wondering if that's the expected behavior when we upload a zipped files from lesson? My understanding was when we upload zipped files from Lesson tool,  a link should be added in the Lesson page to the content. We would appreciate if you would let us know the expected results.","14-Jun-2016 10:33;hedrick;The expected behavior is this:

* Unzip the file in resources.
* Look for a web page to show in Lessons. The simplest is a file index.html or index.htm at the top level. Some other things can be recognized that are produced by the three tools I listed.

If we find the web page, then we add a link to it in Lessons. Otherwise there's nothing to show in Lessons, so we give that warning message.

The intent was never to show some kind of file browser into the contents of the ZIP file. Rather, the idea was that someone would be using a desktop tool that prepares content. A lot of those tools output a set of web pages in a ZIP file with index.html as an index into them. E.g. it used to be that Powerpoint would output a presentation as a set of web pages (though I'm not sure current versions still do that). There was an index.html at the top level. It's actually not that hard to display a browser. Sakai has a URL that would do that. But no one ever suggested that that would be something faculty would want.","20-Jun-2016 11:01;ncaidin;I moved this from a bug to a feature request .
","20-Jun-2016 12:00;hedrick;Yeah, but what feature? Did they expect a browser, or did they expect me to pull all the images out of the ZIP and create items for each?
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookmark / link to where you were previously,SAK-37398,65399,New Feature,Awaiting Review,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,hedrick,drramsey,drramsey,01-Jun-2015 12:59,18-Apr-2018 07:24,18-Feb-2021 03:39,,,,,,,,,,,,,,,,,,,,Lessons,,,,,,,1,,,,,,,,,"Students would like to be able to bookmark where they are in a lesson, so that they can return to that same page in the lesson when they log back into Sakai.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,LSNBLDR-498,,,"0|108ly8:",9223372036854775807,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMSCC import should happen in a background thread,SAK-37388,80924,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,maintenanceteam,ottenhoff,ottenhoff,16-Aug-2017 10:35,18-Apr-2018 07:24,18-Feb-2021 03:39,,11.4,,,,,,,,,,,,,,,,,,Lessons,,,,,,,0,import,IMS-CC,,,,,,,"Users will want to import giant files. Sakai will not be able to complete these imports in a reasonable amount of time.

 

The import and export should happen in background threads with notification to the user via email.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,LSNBLDR-848,,,"0|10b5kw:",9223372036854775807,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synoptic tool for Assignments Instructor and Students,SAK-18587,37816,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,,nicola@nyu.edu,nicola@nyu.edu,01-Jun-2010 15:15,18-Apr-2018 07:21,18-Feb-2021 03:39,,2.7.0,,,,,,,,,,,,,,,,,,Assignments,,,,,,,0,PATCH_ADDED,,,,,,,,"Instructors would like a tool similar to the Messages & Forums Notifications tool, that will notify them if a published course has ungraded assignments, and if so, how many total for each course.  It should only show for people with instructor access to a course.

This is a feature we may be working on for one of our clients, but it would be great to get feedback from the community.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,2993,,,,,,"0|100p4o:",4074,,,,,Not started,,,,,,,"07-Nov-2012 19:03;jonespm;I added the synoptic tool for the student view in
(2.8.x version)
https://source.sakaiproject.org/svn/msub/longsight.com/assignment/CMCC-12-2.8.x
(Trunk version)
https://source.sakaiproject.org/svn/msub/longsight.com/assignment/CMCC-12/

This could also be committed for and used for instructors but wouldn't provide the information the original request wanted, this would take a couple more hours of work I think. You can use viewsvn to merge the commits but it should just be.

svn merge -c 114112,114114,114174,114319 https://source.sakaiproject.org/svn/msub/longsight.com/assignment/CMCC-12/","29-Aug-2017 11:06;jonespm;This has a PR at [https://github.com/sakaiproject/sakai/pull/4673] but it's incomplete at the moment. There was a lot more work needed on it that I don't see myself doing unless a client is interested, so I'm just un-assigning it. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Localize site type,SAK-26004,62066,New Feature,Awaiting Review,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,maintenanceteam,gaojun,gaojun,01-Apr-2014 03:55,18-Apr-2018 01:26,18-Feb-2021 03:39,,,,,,,,,,,,,,,,,,,,Internationalization,,,,,,,0,ContributedPatch,,,,,,,,"Sakai display site type directly to users. 
This is not friendly to a university with multiple languages. 

Some effort has been made to handle this problem, like SAK-12397. These issues remain unresolved. 

Here is my solution. 
Just like the tool menu did, it uses the tool id (sakai.profile2) or customized title stored in DB, and gives users the L10N label. 
To achieve this goal, some work should be done. 
1. Add a new properties file under folder config/localization. 
2. Add a new method getLocalizedType() to Role to get the localized label of the role. And new method is needed in SiteService.
3. Modify the tools shows role id to show role label. 

I'll create some sub-task to achieve this goal.",,,,,,,,,,,,,,,SAK-12397,SAK-23651,,,,,,SAK-12397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46491,,,,,,"0|1080i0:",46740,,,,,Not started,,,,,,,"28-Sep-2017 05:10;farreri;Is this still an issue that needs a review for Sakai 10.x or 11.x?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question with numeric response do not appear in Item analysis,SAK-34788,46552,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,samigoteam,laurent.danet@hec.ca,laurent.danet@hec.ca,20-Apr-2011 12:09,17-Apr-2018 08:08,18-Feb-2021 03:39,,,,,,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,0,,,,,,,,,"A question with numeric response do not appear in item analysis. Is it possible to have an analysis on this type of question. If not, could we have a message and not just an invisible item ?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14416,,,SAM-1188,,,"0|103l00:",20901,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability to Disable Anonymous Exam Release,SAK-34791,49550,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,samigoteam,seanrbaker,seanrbaker,31-Aug-2011 13:19,17-Apr-2018 08:08,18-Feb-2021 03:39,,2.7.0,2.7.1,2.7.2,2.7.x,2.8.0,2.8.3,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,0,,,,,,,,,"Locally we needed the ability to disable instructors from setting the ""Release To"" to ""Anonymous"" (site policy is to deny access to any material to anyone who is not authenticated).  This was not supported directly from within the tool, so we submit the patch as below for modifying behavior.  It adds the optional property of ""samigo.allowAnonymous"", a true / false setting which controls whether Anonymous release is allowed (default is true to maintain backwards compatibility).  To accomplish this while maintaining UI, the getPublishingTargets function had to be restructured, but otherwise most everything else remained intact.",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31-Aug-2011 13:19;seanrbaker;disableanonymous.txt;https://jira.sakaiproject.org/secure/attachment/28051/disableanonymous.txt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14402,,,SAM-1349,,,"0|103kww:",20887,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add more time to test in progress,SAK-34787,64741,New Feature,Awaiting Review,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,samigoteam,yq12,yq12,10-Feb-2015 13:28,17-Apr-2018 08:08,18-Feb-2021 03:39,,,,,,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,1,,,,,,,,,There is situation that instructor might want to add some extra time for the whole class while taking the test.  Could we offer the ability for instructor to add minutes to an assessment after it has started (give students an additional X minutes)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,SAM-2482,,,"0|108i00:",9223372036854775807,,,,,Not started,,,,,,,"10-Feb-2015 15:08;ottenhoff;Sure, if you can provide a Github pull request, I'm willing to review it and merge it in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sections aware T&Q - different deadline for diffent sections,SAK-34789,42246,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,samigoteam,darolmar@abierta.upv.es,darolmar@abierta.upv.es,19-Oct-2010 00:38,17-Apr-2018 08:08,18-Feb-2021 03:39,,2.8.0,,,,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,0,,,,,,,,,"I copy the request of one of our teachers...
----
I belong to the department of Chemistry of the Universidad Politécnica de Valencia (Spain), and we want to use the tool ""Tests & Quizzes: Create and manage online assessments"" in our courses. We are dealing with around 500 students first and second semester courses. 

As you know, laboratory sessions are an important part of chemistry courses, and we thought to use Quizzes for our students to make sure they have the concepts needed to perform correctly these sessions. The idea would be to use this tool to asses the previous learning in the 6 sessions that would perform the (more or less) 20 lab groups in each semester. So a student would perform his test previous to his laboratory session.
 
This would be something similar to what the Department of Chemistry, University of California - Davis (UC Davis) is using, and I quote from their web resources ""On Line Pre-laboratory Quizzes: Each 2 point pre-lab quiz must be completed at least 1 hour prior to attending the student's scheduled lab class.""

This semester we have started to use these quizzes with a small group of 100 students (4 laboratory groups) but we have a problem, since students have laboratory sessions in different days/weeks, we would like to specify a different deadline for each laboratory group, this means that we would like to merge the following tools (see image, in pink): ""Fecha límite"" (deadline date) and ""Examen publicado para grupos seleccionados"" (published for selected groups). In this way we would be able to create only one quiz per laboratory session and indicate the deadline for each laboratory group; instead of creating one quiz for each laboratory group (this would mean at least 20 quizzes for each of the 6 laboratory sessions, i.e. around 120 quizzes in each semester!!).

Thank you for your interest, 
Patricia Noguera.
----",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14427,,,SAM-1031,,,"0|103l2g:",20912,,,,,Not started,,,,,,,"08-Feb-2011 08:21;ottenhoff;We also hear this as a primary feature request.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Add more 4 columns ""Submit Data, Time, Score, Adjustment"" from screen ""Total Scores"" into the EXPORT feature",SAK-34785,71115,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,samigoteam,thachln,thachln,20-May-2017 20:56,17-Apr-2018 08:08,18-Feb-2021 03:39,,11.3,,,,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,0,download,,,,,,,,"There are some columns in screen TOTAL SCORES should be added when EXPORT.
View details in the attached file.","Windows/Linux, MySQL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20-May-2017 20:55;thachln;Assessment-QA_Exam_Tester_Role_Demo_20170517-05212017.xls;https://jira.sakaiproject.org/secure/attachment/47425/Assessment-QA_Exam_Tester_Role_Demo_20170517-05212017.xls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,SAM-3201,,,"0|109hio:",9223372036854775807,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructor needs access to each students' unique test experience for integrity check ,SAK-34780,70724,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Major,,samigoteam,lcira,lcira,31-Mar-2017 13:09,17-Apr-2018 08:08,18-Feb-2021 03:39,,10.5,10.7,11.5 [Tentative],12.0,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,1,,,,,,,,,"SHORT DESCRIPTION: When reviewing student submissions for a multiple choice/randomized answer quiz, Instructors want to be able to see a snapshot of each student's quiz answer order and their selections in case an integrity issue arises.

EXPLANATION AND SCENARIO:
Scenario: Instructor suspects students are cheating on his random-answer multiple choice quizzes. He believes a facilitator took the quiz early, writing down all the answers (1 = D, 2 = A, 3 = E and so on). Going on a hunch based on previous events, he believes the cheating students then took that answer sheet and answered using the same letter selections (instead of bothering to read the answer choices) without realizing that the answers were randomized. 

He needs to confirm whether all of their answer selections match those of their facilitator, which would be statistically improbable with enough randomized answer choices on a quiz of 20 questions (since the correct answer could land as choice A for one student and B for another, C for yet another.)

As it is now, Samigo has three different views of a randomized test:

1. *Edit screen for quiz*, which displays original answer order
2. *Student feedback screen*, which shows order student encountered during test as well as which answer he chose (if enabled) - only the student can see this
3. *Instructor review of student answers* (Published copy of quiz > Scores > click on student’s name), which shows entire quiz with student’s answer selection BUT which does NOT correspond to the exact letter he chose

Problem: As it is currently, an instructor will not be able to see the unique, randomized presentation of answers for each individual student. When an instructor views student answers via the Scores screen (option 3, above), he will notice that each students’ quiz appears to have presented answer options in the exact same order. Student A’s quiz will appear to be exactly the same as Student B and Student C - and, oddly,  this order isn’t the same as was in the original quiz as created (visible through choice 1, above). This screen doesn’t seem to correspond to anything else!

Solution: The instructor needs access to the version of the quiz as it is presented to each student to truly see which letter they selected in their answer. This order is preserved via the individual student’s feedback screen. How can we make this screen be the one accessible to the instructor through Scores > student?
",10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,SAM-3185,,,"0|109f8g:",9223372036854775807,,,,,Not started,,,,,,,"18-Aug-2017 08:38;rainribbon;SAM-2348 has an old patch from 2.9 - this might provide some insight for a developer to get started on fixing this issue.","19-Sep-2017 07:55;rainribbon;Copying my comment from SAM-2348 here to explain why this is a new feature and NOT a bug (SAM-2348 was listed as a bug).

*Current behavior:* When a quiz has randomized answers or questions, when the instructor first select a student's name from _Total Scores_, the instructor's individual student _Scores_ screen for every student is populated with that same random order (I understand this to be in the ""delivery bean"", but may be misunderstanding what a developer explained to me about how it works).  Reviewing subsequent students, the instructor always sees the same order and NOT what each student saw during the take.

It would be a new feature to change this behavior to allow instructor's scores screens to mirror student feedback screens for students on randomized quizzes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
